metric,system_a,system_b,mean_a,mean_b,std_a,std_b,mean_diff_a_minus_b,r_inferred,d_z_reported,d_av,d_rm,p_raw,p_bh,sig_bh,p_holm,sig_holm,d_z_label,d_av_label,meets_thresh_d_z,meets_thresh_d_av
ndcg@5,RAG Lexico (BM25),RAG Semantico (Dense),0.5544578770193516,0.6605658665333911,0.32031027334492407,0.27875098301040097,-0.10610798951403955,0.5048360299175849,-0.35339815575841066,-0.3542475444317602,-0.35168495910375747,0.0003209903143022831,0.0005502691102324853,True,0.0019259418858136985,True,small,small,False,False
ndcg@5,RAG Lexico (BM25),RAG Hibrido Propuesto,0.5544578770193516,0.7361851284503412,0.32031027334492407,0.25689829418476423,-0.18172725143098967,0.5122166051259112,-0.6259104309480324,-0.6296762094462247,-0.6182166437618432,1.8340134184249823e-11,1.1004080510549895e-10,True,2.0174147602674807e-10,True,medium,medium,True,True
ndcg@5,RAG Semantico (Dense),RAG Hibrido Propuesto,0.6605658665333911,0.7361851284503412,0.27875098301040097,0.25689829418476423,-0.07561926191695012,0.5016671402763471,-0.2821115029201338,-0.28234617364898656,-0.2816407907719888,0.0008738227979004291,0.0013107341968506437,True,0.004369113989502146,True,small,small,False,False
avg_score@5,RAG Lexico (BM25),RAG Semantico (Dense),1.9026058872304856,2.4002960911765694,2.7163213489257747,2.799017597478912,-0.49769020394608376,0.5002248665464619,-0.1804546461620214,-0.1804749295672991,-0.1804140633855784,0.018709555764484465,0.018709555764484465,True,0.03029339392331578,True,negligible,negligible,False,False
avg_score@5,RAG Lexico (BM25),RAG Hibrido Propuesto,1.9026058872304856,2.8785045030917975,2.7163213489257747,2.512640431959211,-0.9758986158613119,0.501519599705708,-0.37298382952540576,-0.37326668534040963,-0.3724166121081642,1.1138818567750779e-11,1.1004080510549895e-10,True,1.3366582281300935e-10,True,small,small,False,False
avg_score@5,RAG Semantico (Dense),RAG Hibrido Propuesto,2.4002960911765694,2.8785045030917975,2.799017597478912,2.512640431959211,-0.4782084119152281,0.5029152835923894,-0.17979880876755694,-0.18005993957627348,-0.17927387797076205,3.412881064008461e-07,1.0238643192025384e-06,True,3.0715929576076146e-06,True,negligible,negligible,False,False
precision@5,RAG Lexico (BM25),RAG Semantico (Dense),0.7180000000000001,0.782,0.3436218852168761,0.30278044851013747,-0.06399999999999995,0.5040080523640893,-0.19762501529018658,-0.19801908706297527,-0.19683133011420076,0.0028392795787627926,0.003785706105017057,True,0.01135711831505117,True,negligible,negligible,False,False
precision@5,RAG Lexico (BM25),RAG Hibrido Propuesto,0.7180000000000001,0.851,0.3436218852168761,0.26832629390352336,-0.1329999999999999,0.5153721656846914,-0.43142383916713456,-0.4346773290221113,-0.4247401479933914,1.00779161178404e-09,4.03116644713616e-09,True,1.00779161178404e-08,True,small,small,False,False
precision@5,RAG Semantico (Dense),RAG Hibrido Propuesto,0.782,0.851,0.30278044851013747,0.26832629390352336,-0.06899999999999995,0.5036528525742867,-0.24119756204754908,-0.24163608963321345,-0.24031488781743632,3.067782406940059e-05,6.135564813880119e-05,True,0.00021474476848580416,True,small,small,False,False
mrr,RAG Lexico (BM25),RAG Semantico (Dense),0.82825,0.8936666666666667,0.33863368236685104,0.27542169687791684,-0.06541666666666668,0.5107105203140333,-0.21194435765532502,-0.2130643876033566,-0.2096620347091863,0.00615919260607964,0.007391031127295568,True,0.018477577818238923,True,small,small,False,False
mrr,RAG Lexico (BM25),RAG Hibrido Propuesto,0.82825,0.9424166666666668,0.33863368236685104,0.21649222144096641,-0.11416666666666675,0.5508737532440557,-0.40170945884768644,-0.41131810237481126,-0.3807248933519335,4.54641486082214e-06,1.0911395665973136e-05,True,3.637131888657712e-05,True,small,small,False,False
mrr,RAG Semantico (Dense),RAG Hibrido Propuesto,0.8936666666666667,0.9424166666666668,0.27542169687791684,0.21649222144096641,-0.04875000000000007,0.5145601118989837,-0.19679829902248946,-0.1982054102742337,-0.19391172408505897,0.01514669696165789,0.016523669412717698,True,0.03029339392331578,True,negligible,negligible,False,False
